In : 199 , Out : 252 , Current : 248
In : 59 , Out : 132 , Current : 62
In : 59 , Out : 132 , Current : 62
In : 59 , Out : 65 , Current : 62
In : 59 , Out : 65 , Current : 62
In : 132 , Out : 59 , Current : 62
In : 132 , Out : 59 , Current : 62
In : 132 , Out : 65 , Current : 62
In : 132 , Out : 65 , Current : 62
In : 59 , Out : 132 , Current : 62
In : 59 , Out : 132 , Current : 62
In : 65 , Out : 59 , Current : 62
In : 65 , Out : 132 , Current : 62
In : 65 , Out : 59 , Current : 62
In : 65 , Out : 132 , Current : 62
In : 258 , Out : 164 , Current : 259
In : 258 , Out : 164 , Current : 259
In : 164 , Out : 258 , Current : 259
In : 164 , Out : 163 , Current : 259
In : 164 , Out : 163 , Current : 259
In : 164 , Out : 258 , Current : 259
In : 163 , Out : 164 , Current : 259
In : 163 , Out : 164 , Current : 259
In : 122 , Out : 244 , Current : 124
In : 122 , Out : 244 , Current : 124
In : 21 , Out : 244 , Current : 124
In : 21 , Out : 244 , Current : 124
In : 244 , Out : 122 , Current : 124
In : 244 , Out : 21 , Current : 124
In : 244 , Out : 21 , Current : 124
In : 244 , Out : 122 , Current : 124
In : 21 , Out : 244 , Current : 124
In : 21 , Out : 244 , Current : 124
In : 122 , Out : 244 , Current : 124
In : 122 , Out : 244 , Current : 124
In : 246 , Out : 70 , Current : 250
In : 246 , Out : 314 , Current : 250
In : 246 , Out : 314 , Current : 250
In : 246 , Out : 70 , Current : 250
In : 70 , Out : 246 , Current : 250
In : 70 , Out : 314 , Current : 250
In : 70 , Out : 314 , Current : 250
In : 70 , Out : 246 , Current : 250
In : 314 , Out : 246 , Current : 250
In : 314 , Out : 70 , Current : 250
In : 314 , Out : 246 , Current : 250
In : 314 , Out : 70 , Current : 250
In : 314 , Out : 246 , Current : 250
In : 246 , Out : 314 , Current : 250
In : 246 , Out : 43 , Current : 249
In : 246 , Out : 43 , Current : 249
In : 202 , Out : 43 , Current : 249
In : 202 , Out : 43 , Current : 249
In : 43 , Out : 246 , Current : 249
In : 43 , Out : 202 , Current : 249
In : 43 , Out : 246 , Current : 249
In : 43 , Out : 202 , Current : 249
In : 59 , Out : 225 , Current : 61
In : 59 , Out : 159 , Current : 61
In : 59 , Out : 225 , Current : 61
In : 59 , Out : 159 , Current : 61
In : 225 , Out : 59 , Current : 61
In : 225 , Out : 159 , Current : 61
In : 225 , Out : 159 , Current : 61
In : 225 , Out : 59 , Current : 61
In : 159 , Out : 59 , Current : 61
In : 159 , Out : 225 , Current : 61
In : 159 , Out : 225 , Current : 61
In : 159 , Out : 59 , Current : 61
In : 59 , Out : 225 , Current : 61
In : 59 , Out : 225 , Current : 61
In : 122 , Out : 207 , Current : 123
In : 122 , Out : 208 , Current : 123
In : 122 , Out : 208 , Current : 123
In : 122 , Out : 207 , Current : 123
In : 207 , Out : 122 , Current : 123
In : 207 , Out : 122 , Current : 123
In : 207 , Out : 208 , Current : 123
In : 207 , Out : 208 , Current : 123
In : 208 , Out : 122 , Current : 123
In : 208 , Out : 207 , Current : 123
In : 208 , Out : 122 , Current : 123
In : 208 , Out : 207 , Current : 123
In : 139 , Out : 229 , Current : 140
In : 139 , Out : 229 , Current : 140
In : 229 , Out : 139 , Current : 140
In : 229 , Out : 139 , Current : 140
In : 229 , Out : 139 , Current : 140
In : 229 , Out : 139 , Current : 140
In : 59 , Out : 63 , Current : 60
In : 59 , Out : 63 , Current : 60
In : 63 , Out : 59 , Current : 60
In : 63 , Out : 225 , Current : 60
